pt,int,hz,ppm
743,4535630,8557.58,113.345
744,4535610,8559.05,113.365
745,4535600,8560.52,113.384
746,4535590,8561.99,113.404
747,4535580,8563.45,113.423
748,4535560,8564.92,113.443
749,4535550,8566.39,113.462
750,4535540,8567.86,113.482
751,4535530,8569.33,113.501
752,4535510,8570.8,113.52
753,4535500,8572.26,113.54
754,4535490,8573.73,113.559
755,4535480,8575.2,113.579
756,4535460,8576.67,113.598
757,4535450,8578.14,113.618
758,4535440,8579.6,113.637
759,4535430,8581.07,113.657
760,4535410,8582.54,113.676
761,4535400,8584.01,113.695
762,4535390,8585.48,113.715
763,4535380,8586.95,113.734
764,4535400,8588.41,113.754
765,4535450,8589.88,113.773
766,4535500,8591.35,113.793
767,4535550,8592.82,113.812
768,4535610,8594.29,113.832
769,4535660,8595.75,113.851
770,4535710,8597.22,113.87
771,4535760,8598.69,113.89
772,4535820,8600.16,113.909
773,4535870,8601.63,113.929
774,4535920,8603.09,113.948
775,4535970,8604.56,113.968
776,4536030,8606.03,113.987
777,4536080,8607.5,114.007
778,4536130,8608.97,114.026
779,4536180,8610.44,114.045
780,4536230,8611.9,114.065
781,4536290,8613.37,114.084
782,4536340,8614.84,114.104
783,4536390,8616.31,114.123
784,4536440,8617.78,114.143
785,4536500,8619.24,114.162
786,4536550,8620.71,114.182
787,4536780,8622.18,114.201
788,4537270,8623.65,114.221
789,4537760,8625.12,114.24
790,4538250,8626.58,114.259
791,4538740,8628.05,114.279
792,4539230,8629.52,114.298
793,4539720,8630.99,114.318
794,4540210,8632.46,114.337
795,4540690,8633.93,114.357
796,4541180,8635.39,114.376
797,4541670,8636.86,114.396
798,4542160,8638.33,114.415
799,4542650,8639.8,114.434
800,4543140,8641.27,114.454
801,4543630,8642.73,114.473
802,4544120,8644.2,114.493
803,4544610,8645.67,114.512
804,4545090,8647.14,114.532
805,4545580,8648.61,114.551
806,4546070,8650.07,114.571
807,4546560,8651.54,114.59
808,4547050,8653.01,114.609
809,4547540,8654.48,114.629
810,4548090,8655.95,114.648
811,4548780,8657.42,114.668
812,4549460,8658.88,114.687
813,4550140,8660.35,114.707
814,4550830,8661.82,114.726
815,4551510,8663.29,114.746
816,4552190,8664.76,114.765
817,4552880,8666.22,114.784
818,4553560,8667.69,114.804
819,4554250,8669.16,114.823
820,4554930,8670.63,114.843
821,4555610,8672.1,114.862
822,4556300,8673.57,114.882
823,4556980,8675.03,114.901
824,4557670,8676.5,114.921
825,4558350,8677.97,114.94
826,4559030,8679.44,114.959
827,4559720,8680.91,114.979
828,4560400,8682.37,114.998
829,4561080,8683.84,115.018
830,4561770,8685.31,115.037
831,4562450,8686.78,115.057
832,4563140,8688.25,115.076
833,4564720,8689.71,115.096
834,4569250,8691.18,115.115
835,4573780,8692.65,115.134
836,4578310,8694.12,115.154
837,4582840,8695.59,115.173
838,4587380,8697.06,115.193
839,4591910,8698.52,115.212
840,4596440,8699.99,115.232
841,4600970,8701.46,115.251
842,4605500,8702.93,115.271
843,4610030,8704.4,115.29
844,4614560,8705.86,115.309
845,4619090,8707.33,115.329
846,4623620,8708.8,115.348
847,4628150,8710.27,115.368
848,4632680,8711.74,115.387
849,4637210,8713.2,115.407
850,4641750,8714.67,115.426
851,4646280,8716.14,115.446
852,4650810,8717.61,115.465
853,4655340,8719.08,115.484
854,4659870,8720.55,115.504
855,4664400,8722.01,115.523
856,4668680,8723.48,115.543
857,4670520,8724.95,115.562
858,4672360,8726.42,115.582
859,4674190,8727.89,115.601
860,4676030,8729.35,115.621
861,4677870,8730.82,115.64
862,4679710,8732.29,115.659
863,4681540,8733.76,115.679
864,4683380,8735.23,115.698
865,4685220,8736.69,115.718
866,4687060,8738.16,115.737
867,4688890,8739.63,115.757
